name,OverallRating,age,hits,PotentialGrowth,Potential-Overall
Lionel Messi,94,33,299,94,0
Cristiano Ronaldo,93,35,276,93,0
Neymar Jr,92,28,186,92,0
Virgil van Dijk,91,29,127,92,1
Jan Oblak,91,27,47,93,2
Kevin De Bruyne,91,29,119,91,0
Robert Lewandowski,91,31,89,91,0
Eden Hazard,91,29,66,91,0
Alisson,90,27,53,91,1
Mohamed Salah,90,28,94,90,0
Sadio Mané,90,28,76,90,0
Marc-André ter Stegen,90,28,68,93,3
Sergio Agüero,90,32,50,90,0
Kylian Mbappé,89,21,222,95,6
N'Golo Kanté,89,29,75,89,0
Harry Kane,89,27,64,91,2
Antoine Griezmann,89,29,66,89,0
Toni Kroos,89,30,37,89,0
Luka Modric,89,34,31,89,0
Luis Suárez,89,33,54,89,0
Manuel Neuer,89,34,42,89,0
Sergio Ramos,89,34,55,89,0
Ederson,88,26,40,91,3
Raheem Sterling,88,25,61,90,2
Roberto Firmino,88,28,79,88,0
Kalidou Koulibaly,88,29,78,90,2
Casemiro,88,28,37,89,1
De Gea,88,29,39,88,0
Thibaut Courtois,88,28,34,89,1
Sergio Busquets,88,32,34,88,0
Pierre-Emerick Aubameyang,88,31,114,88,0
Karim Benzema,88,32,51,88,0
Samir Handanovic,88,36,13,88,0
Piqué,88,33,41,88,0
Giorgio Chiellini,88,35,19,88,0
Bernardo Silva,87,25,53,90,3
Joshua Kimmich,87,25,82,90,3
Aymeric Laporte,87,26,38,90,3
Paulo Dybala,87,26,95,90,3
Heung Min Son,87,28,75,87,0
Marco Verratti,87,27,45,88,1
Paul Pogba,87,27,70,88,1
Keylor Navas,87,33,28,87,0
Ciro Immobile,87,30,130,87,0
Christian Eriksen,87,28,48,87,0
Parejo,87,31,14,87,0
Marco Reus,87,31,42,87,0
Wojciech Szczesny,87,30,17,88,1
Ángel Di María,87,32,41,87,0
Diego Godín,87,34,16,87,0
Mats Hummels,87,31,18,87,0
Dries Mertens,87,33,34,87,0
David Silva,87,34,28,87,0
Hugo Lloris,87,33,19,87,0
Thiago Silva,87,35,28,87,0
Jadon Sancho,86,20,300,94,8
Milan Škriniar,86,25,62,90,4
Frenkie de Jong,86,23,126,92,6
Leroy Sané,86,24,74,90,4
Clément Lenglet,86,25,58,90,4
Andrew Robertson,86,26,66,89,3
Bruno Fernandes,86,25,127,89,3
Timo Werner,86,24,136,89,3
Fabinho,86,26,44,88,2
Jamie Vardy,86,33,43,86,0
Hakim Ziyech,86,27,113,87,1
Marquinhos,86,26,48,90,4
Riyad Mahrez,86,29,40,86,0
Raphaël Varane,86,27,39,89,3
Mauro Icardi,86,27,47,87,1
Lorenzo Insigne,86,29,42,86,0
Koke,86,28,15,86,0
Romelu Lukaku,86,27,63,87,1
Thiago,86,29,47,86,0
Jordi Alba,86,31,35,86,0
Leonardo Bonucci,86,33,17,86,0
Toby Alderweireld,86,31,16,86,0
Miralem Pjanic,86,30,31,86,0
Edinson Cavani,86,33,26,86,0
Yann Sommer,86,31,5,86,0
Alejandro Gómez,86,32,49,86,0
Matthijs de Ligt,85,20,110,92,7
Rodri,85,24,36,89,4
Trent Alexander-Arnold,85,21,135,90,5
Arthur,85,23,64,90,5
Gianluigi Donnarumma,85,21,62,92,7
André Onana,85,24,55,89,4
Sergej Milinkovic-Savic,85,25,55,90,5
Nabil Fekir,85,27,34,87,2
José María Giménez,85,25,34,89,4
Niklas Süle,85,24,42,90,5
Saúl,85,25,39,89,4
Serge Gnabry,85,25,79,87,2
Samuel Umtiti,85,26,42,88,3
Carvajal,85,28,24,85,0
Luis Alberto,85,27,27,86,1
Stefan de Vrij,85,28,19,86,1
Pizzi,85,30,14,85,0
Isco,85,28,25,85,0
Iago Aspas,85,32,10,85,0
Bernd Leno,85,28,30,87,2
Thomas Müller,85,30,23,85,0
Coutinho,85,28,49,85,0
Roman Bürki,85,29,10,86,1
Paulinho,85,32,22,85,0
Péter Gulácsi,85,30,14,86,1
Jordan Henderson,85,30,41,85,0
Georginio Wijnaldum,85,29,40,85,0
Axel Witsel,85,31,26,85,0
Gareth Bale,85,31,69,85,0
Jan Vertonghen,85,33,26,85,0
Ivan Rakitic,85,32,38,85,0
Gonzalo Higuaín,85,32,24,85,0
Fernandinho,85,35,14,85,0
Zlatan Ibrahimovic,85,38,189,85,0
